Customer	SGCC_1.5
TestDate	4/4/2026
Coil No/Packet No	45-02
Type	Flat
Size(mm)	20*1.53
So(mm^2)	30.60
Lo(mm)	85
Lu(mm)	
A(%)	/
Su(mm^2)	/
Z(%)	/
Fm(kgf)	1018.0
Rm(MPa)	303
FeH(kgf)	/
ReH(MPa)	/
FeL(kgf)	/
ReL(MPa)	/
Fp(kgf)	3.181
Rp(MPa)	1
Ft(kgf)	/
Rt(MPa)	/
E(GPa)	/


-----------Curve----------
Time	Load	Elong	Disp	Stress	Strain	TrueStress	TrueStrain
282.719	8.445	0.0000	9.406	275.974	0.000	275.974	0.000
283.717	8.451	0.0000	9.439	276.180	0.000	276.180	0.000
284.716	8.458	0.0000	9.472	276.389	0.000	276.389	0.000
285.715	8.463	0.0000	9.506	276.572	0.000	276.572	0.000
286.715	8.468	0.0000	9.539	276.739	0.000	276.739	0.000
287.715	8.474	0.0000	9.572	276.931	0.000	276.931	0.000
288.713	8.480	0.0000	9.606	277.111	0.000	277.111	0.000
289.713	8.485	0.0000	9.639	277.294	0.000	277.294	0.000
290.711	8.491	0.0000	9.672	277.487	0.000	277.487	0.000
291.711	8.496	0.0000	9.706	277.644	0.000	277.644	0.000
292.71	8.501	0.0000	9.739	277.824	0.000	277.824	0.000
293.709	8.507	0.0000	9.772	278.013	0.000	278.013	0.000
294.706	8.512	0.0000	9.805	278.180	0.000	278.180	0.000
295.707	8.517	0.0000	9.839	278.330	0.000	278.330	0.000
296.704	8.522	0.0000	9.872	278.503	0.000	278.503	0.000
297.706	8.527	0.0000	9.905	278.667	0.000	278.667	0.000
298.703	8.533	0.0000	9.939	278.840	0.000	278.840	0.000
299.701	8.537	0.0000	9.972	278.997	0.000	278.997	0.000
300.701	8.542	0.0000	10.005	279.154	0.000	279.154	0.000
301.7	8.548	0.0000	10.039	279.337	0.000	279.337	0.000
302.699	8.553	0.0000	10.072	279.523	0.000	279.523	0.000
303.699	8.558	0.0000	10.105	279.670	0.000	279.670	0.000
304.697	8.563	0.0000	10.138	279.827	0.000	279.827	0.000
305.696	8.567	0.0000	10.172	279.980	0.000	279.980	0.000
306.696	8.573	0.0000	10.205	280.160	0.000	280.160	0.000
307.694	8.578	0.0000	10.238	280.320	0.000	280.320	0.000
308.693	8.583	0.0000	10.272	280.480	0.000	280.480	0.000
309.693	8.588	0.0000	10.305	280.644	0.000	280.644	0.000
310.691	8.593	0.0000	10.338	280.810	0.000	280.810	0.000
311.691	8.597	0.0000	10.372	280.961	0.000	280.961	0.000
312.69	8.602	0.0000	10.405	281.105	0.000	281.105	0.000
313.689	8.607	0.0000	10.438	281.268	0.000	281.268	0.000
314.687	8.612	0.0000	10.471	281.425	0.000	281.425	0.000
315.687	8.616	0.0000	10.505	281.575	0.000	281.575	0.000
316.685	8.621	0.0000	10.538	281.725	0.000	281.725	0.000
317.685	8.625	0.0000	10.571	281.876	0.000	281.876	0.000
318.683	8.631	0.0000	10.605	282.042	0.000	282.042	0.000
319.682	8.635	0.0000	10.638	282.193	0.000	282.193	0.000
320.681	8.640	0.0000	10.671	282.353	0.000	282.353	0.000
321.679	8.644	0.0000	10.705	282.467	0.000	282.467	0.000
322.679	8.648	0.0000	10.738	282.631	0.000	282.631	0.000
323.679	8.654	0.0000	10.771	282.810	0.000	282.810	0.000
324.678	8.659	0.0000	10.804	282.958	0.000	282.958	0.000
325.676	8.662	0.0000	10.838	283.065	0.000	283.065	0.000
326.674	8.666	0.0000	10.871	283.190	0.000	283.190	0.000
327.674	8.670	0.0000	10.904	283.343	0.000	283.343	0.000
328.672	8.676	0.0000	10.938	283.513	0.000	283.513	0.000
329.674	8.680	0.0000	10.971	283.660	0.000	283.660	0.000
330.671	8.684	0.0000	11.004	283.784	0.000	283.784	0.000
331.669	8.689	0.0000	11.038	283.938	0.000	283.938	0.000
332.67	8.693	0.0000	11.071	284.098	0.000	284.098	0.000
333.669	8.697	0.0000	11.104	284.203	0.000	284.203	0.000
334.667	8.701	0.0000	11.137	284.343	0.000	284.343	0.000
335.667	8.705	0.0000	11.171	284.477	0.000	284.477	0.000
336.666	8.710	0.0000	11.204	284.641	0.000	284.641	0.000
337.664	8.714	0.0000	11.237	284.765	0.000	284.765	0.000
338.664	8.718	0.0000	11.271	284.899	0.000	284.899	0.000
339.661	8.722	0.0000	11.304	285.023	0.000	285.023	0.000
340.662	8.726	0.0000	11.337	285.163	0.000	285.163	0.000
341.662	8.730	0.0000	11.371	285.294	0.000	285.294	0.000
342.661	8.734	0.0000	11.404	285.438	0.000	285.438	0.000
343.658	8.739	0.0000	11.437	285.578	0.000	285.578	0.000
344.658	8.743	0.0000	11.470	285.722	0.000	285.722	0.000
345.658	8.746	0.0000	11.504	285.807	0.000	285.807	0.000
346.657	8.750	0.0000	11.537	285.948	0.000	285.948	0.000
347.655	8.754	0.0000	11.570	286.091	0.000	286.091	0.000
348.654	8.759	0.0000	11.604	286.229	0.000	286.229	0.000
349.654	8.762	0.0000	11.637	286.350	0.000	286.350	0.000
350.651	8.766	0.0000	11.670	286.480	0.000	286.480	0.000
